Iteration;car
0;173
1;273
2;243
3;325
4;225
5;316
6;252
7;229
8;238
9;313
10;231
11;166
12;252
13;270
14;305
15;300
16;230
17;181
18;256
19;230
20;268
21;369
22;241
23;313
24;225
25;255
26;178
27;255
28;258
29;225
30;200
31;226
32;223
33;298
34;272
35;284
36;215
37;255
38;264
39;177
40;167
41;240
42;283
43;347
44;265
45;246
46;298
47;231
48;270
49;298
50;217
