Iteration;car_travel;car_wait;stageActivity_travel;stageActivity_wait
0;1614191;0;0;0
1;1432530;0;0;0
2;1286839;0;0;0
3;1194482;0;0;0
4;1139848;0;0;0
5;1100063;0;0;0
6;1071078;0;0;0
7;1044147;0;0;0
8;1012335;0;0;0
9;993050;0;0;0
10;981884;0;0;0
